dataset,paper_name,paper_group,kernel,variant,grid_index,status,error,kernel_params,validation_metric,validation_score,support_vectors,support_fraction,selection_utility,fit_seconds
cloud,cloud,experiment_2,poly,author_original,44,ok,,"{""C"": 100.0, ""coef0"": 0.5, ""degree"": 4}",accuracy,0.5555555555555556,43,0.6323529411764706,0.5555555555555556,0.0482468999980483
cloud,cloud,experiment_2,poly,author_original,45,ok,,"{""C"": 100.0, ""coef0"": 1.0, ""degree"": 4}",accuracy,0.5555555555555556,39,0.5735294117647058,0.5555555555555556,0.0498692999972263
cloud,cloud,experiment_2,poly,author_original,46,ok,,"{""C"": 100.0, ""coef0"": 0.0, ""degree"": 5}",accuracy,0.5555555555555556,44,0.6470588235294118,0.5555555555555556,0.1073648000019602
cloud,cloud,experiment_2,poly,author_original,47,ok,,"{""C"": 100.0, ""coef0"": 0.5, ""degree"": 5}",accuracy,0.5555555555555556,44,0.6470588235294118,0.5555555555555556,0.0461516000068513
cloud,cloud,experiment_2,poly,author_original,48,ok,,"{""C"": 100.0, ""coef0"": 1.0, ""degree"": 5}",accuracy,0.5,43,0.6323529411764706,0.5,0.0430110999877797
cloud,cloud,experiment_2,poly,robust_hybrid,1,ok,,"{""C"": 0.1, ""coef0"": 0.0, ""degree"": 2}",accuracy,0.2777777777777778,2,0.0294117647058823,0.2777777777777778,0.2037246999971103
cloud,cloud,experiment_2,poly,robust_hybrid,2,ok,,"{""C"": 0.1, ""coef0"": 0.5, ""degree"": 2}",accuracy,0.2777777777777778,2,0.0294117647058823,0.2777777777777778,0.1095389999973122
cloud,cloud,experiment_2,poly,robust_hybrid,3,ok,,"{""C"": 0.1, ""coef0"": 1.0, ""degree"": 2}",accuracy,0.2777777777777778,3,0.0441176470588235,0.2777777777777778,0.1142783999966923
cloud,cloud,experiment_2,poly,robust_hybrid,4,ok,,"{""C"": 0.1, ""coef0"": 0.0, ""degree"": 3}",accuracy,0.7222222222222222,5,0.0735294117647058,0.7222222222222222,0.0453488000057404
cloud,cloud,experiment_2,poly,robust_hybrid,5,ok,,"{""C"": 0.1, ""coef0"": 0.5, ""degree"": 3}",accuracy,0.7222222222222222,5,0.0735294117647058,0.7222222222222222,0.046378500002902
cloud,cloud,experiment_2,poly,robust_hybrid,6,ok,,"{""C"": 0.1, ""coef0"": 1.0, ""degree"": 3}",accuracy,0.7222222222222222,7,0.1029411764705882,0.7222222222222222,0.0485283000016352
cloud,cloud,experiment_2,poly,robust_hybrid,7,ok,,"{""C"": 0.1, ""coef0"": 0.0, ""degree"": 4}",accuracy,0.7222222222222222,5,0.0735294117647058,0.7222222222222222,0.0478297999943606
cloud,cloud,experiment_2,poly,robust_hybrid,8,ok,,"{""C"": 0.1, ""coef0"": 0.5, ""degree"": 4}",accuracy,0.7222222222222222,5,0.0735294117647058,0.7222222222222222,0.0441950999957043
cloud,cloud,experiment_2,poly,robust_hybrid,9,ok,,"{""C"": 0.1, ""coef0"": 1.0, ""degree"": 4}",accuracy,0.7222222222222222,7,0.1029411764705882,0.7222222222222222,0.0396515000029467
cloud,cloud,experiment_2,poly,robust_hybrid,10,ok,,"{""C"": 0.1, ""coef0"": 0.0, ""degree"": 5}",accuracy,0.7222222222222222,5,0.0735294117647058,0.7222222222222222,0.0416231999988667
cloud,cloud,experiment_2,poly,robust_hybrid,11,ok,,"{""C"": 0.1, ""coef0"": 0.5, ""degree"": 5}",accuracy,0.7222222222222222,6,0.088235294117647,0.7222222222222222,0.0381760999880498
cloud,cloud,experiment_2,poly,robust_hybrid,12,ok,,"{""C"": 0.1, ""coef0"": 1.0, ""degree"": 5}",accuracy,0.7222222222222222,8,0.1176470588235294,0.7222222222222222,0.0562366999947698
cloud,cloud,experiment_2,poly,robust_hybrid,13,ok,,"{""C"": 1.0, ""coef0"": 0.0, ""degree"": 2}",accuracy,0.7222222222222222,4,0.0588235294117647,0.7222222222222222,0.0493353000056231
cloud,cloud,experiment_2,poly,robust_hybrid,14,ok,,"{""C"": 1.0, ""coef0"": 0.5, ""degree"": 2}",accuracy,0.7222222222222222,5,0.0735294117647058,0.7222222222222222,0.0521063999913167
cloud,cloud,experiment_2,poly,robust_hybrid,15,ok,,"{""C"": 1.0, ""coef0"": 1.0, ""degree"": 2}",accuracy,0.7222222222222222,6,0.088235294117647,0.7222222222222222,0.0492054000060306
